sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
Por1_E1,220323,-0.07453641535783333,0.024821638470501447,-0.0310318418549075,0.011564120367360478,0.00026866136602109327,0.003347627048717444,0.006136979050432355,0.016995624283262456,-0.004602732282791959,-0.0037384344670818455,-0.0020025272111222196,-0.0007148583053559033,-0.0005373374798379702,0.003851315987335331,0.0002918288778208485,0.0017781884204971859,0.001296346790296889,0.001121202549552736,0.0014928560825866973,-0.0011606549238780046,-0.0017462174609645578,-0.003305001322325969,0.0016824074226882027,0.0038549091775177753,0.0017741294884216269,-0.002404655732319073,0.002049008283333795,0.00010202157043201916,0.001472302078623131,0.0002298044360029059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E2,220324,-0.07617740660153537,0.037964448705428935,-0.026731380631386952,0.002208087913056344,0.00039030600104154,-0.0009271822377648152,0.0022082961843610275,0.0017098149186996555,-0.004448040466692812,-0.0034009567172850813,0.003154381157004025,0.0014477700750865432,0.0007705618599887765,-0.0005561120584375484,0.003585383375811074,-0.003567722696291791,0.0027940455309007866,-0.001758105511346241,-0.002983199639603902,0.0025119047105624922,0.002447408690087873,0.0035547127546163085,-0.0007356858182150071,0.0009773504089347852,0.00024334310448836753,-0.0006441511121650041,0.0003245069312993153,0.0008132473215769294,0.0005440325219071787,0.001005267762693703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E3,220325,-0.07109106532805688,0.029972556707537047,-0.034916859294403156,0.0028024436990637595,0.008590984342945017,0.006752110613351255,-0.02211618146237367,-0.0036123627889482006,-0.010343841489636353,0.0009477447528780498,-0.005051232638397857,0.00018373437481544277,0.0006848601715415208,0.003901469515916698,-2.452096215656454e-05,0.004025272264867629,0.0003579507687626922,0.0012266085430639622,0.0008419509570349469,0.0009245012407421145,0.0014863668044718822,-0.00029672794361744817,0.0003413913525890146,0.0013140135015024207,0.002765865165673021,-0.0018135797809186874,-0.0017556500781164112,-0.0004390234654320326,-0.0009269597471013967,-0.0001573999391022517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E4,220326,-0.07124960373650233,0.03605838341436666,-0.023584334483615178,0.010029915385130105,0.013275072280087098,-0.0367311644995216,-0.005121135978994004,0.0061538625159264495,0.0020737786176299087,-0.004737766098692149,-0.0012506389854375379,-0.00028731555851917834,0.0014983035439535036,-0.003518617018003985,0.0004053413982648686,-0.0013248538311392457,0.00012913630681791666,-0.0011006225772810675,-5.5843860574125464e-05,0.00043793409511009174,0.00043490743180482833,-0.000396552174365097,-0.0001576538389278699,0.00015725812639519001,0.00020724708925884766,-0.00036006262025658424,-9.189377124285369e-05,-4.055575343550704e-05,4.5571261507424915e-06,3.110053950648539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W1,220327,-0.07568119085792037,0.03708109315676149,-0.025545020691679146,0.0035485315082683907,-0.0013023676041407212,-0.0012193091064801348,0.006652687009016641,-0.014222406974619099,0.009304965918087294,0.003833219372926695,0.0007331558717102523,0.00015832030440656166,-0.0017528129948996157,-0.003634332957286577,-0.0020705816410045643,0.00029827444849570657,0.000685489539992916,-0.000806775076375945,-0.00012473949664036207,-0.0005000468244230948,0.000943887612775162,-0.005100748009304083,-2.6112959838823016e-05,0.0010222349856782976,-0.0015224529967190043,-0.000935602668266615,-0.001382133151041386,-0.0005277522251606343,-0.0008259443690010507,-0.0012464540541268043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W2,220328,-0.07555715880730114,0.03773194572289136,-0.026948668601526646,0.0049089860154747245,0.001168699239195575,-0.004013581395570513,-0.0036050654928106904,-0.013337083867724246,-0.01117758449450055,-0.0035268602685850593,-0.006765753420565524,-0.0014355316267062222,-0.0004766585170434534,0.0024230773615880694,0.00011327159033923734,0.0018792930040911655,0.00020446506500439973,-0.002694316523832819,-0.0017171374382242196,-0.0020987771736569677,-0.0007076367660429967,-0.0003618513907006488,0.0004217354767887694,-0.001959292512778443,-0.002110839995667787,0.0014196545268427678,0.0019213923465898261,-0.0001656825824830678,0.0007768958739197735,0.00021490914218679478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W3,220329,-0.07501913882716116,0.037288104092683426,-0.024964041831548996,0.00194903652439257,-0.0009532995226597957,-0.000826497179304682,0.0066982196542478695,-0.015659580085656415,0.012550926420435883,0.0038017361246392373,-0.0010739528810364107,-0.0004907319963951859,0.0019960123909861798,0.005518399687205953,0.003140966621803013,-0.0006788857166289859,-0.0026207867393579177,0.0030428824894833425,0.001982784567338496,0.0023670648789572376,0.00301277581098605,0.0020029972703716216,0.0005351322518558218,-0.0008584636764502148,0.0018143051992550268,0.0013035682371728206,0.000667485742288864,-5.537649821269244e-06,0.0005889128358912213,0.000291331759136411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W4,220330,-0.07647238815145649,0.03751812075421599,-0.026784467171383074,0.0036804941998000744,-0.0003703132589904681,-0.0014349238353748238,0.003330589852686751,0.0016404138477477158,-0.005064993664546258,-0.0037513701371183657,0.0025815773459120727,0.0009623627522878081,0.0008722098686776198,-0.000764665873937523,0.0036011643902328257,-0.0032647570765413896,0.0004521326949990074,-0.0012069658761640915,-0.001231000318176285,-0.00024295112358551732,-0.0010203820653852174,0.003758532509611751,0.0006889685371294459,-0.0006013749966713291,0.001962303832549019,-0.00026232671363945987,0.0003784107517205206,-0.0011769075984121933,0.00012709414636336843,-0.0015608451950899094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W1,220331,0.027001940290832856,-0.08116648688642981,-0.011386667295279955,-0.009664376988361657,0.01887419640094692,0.01766624122639639,0.0026081498327206474,0.004440698388146996,0.0004489049056952713,0.012827835861243685,-0.0038537891700520365,-0.007227863073161063,-0.003090209240333528,0.00019429589499906063,0.008223625776130136,0.00020010321197284553,-0.00010730185156272812,-0.0027390139533479086,-0.00015498451110329369,-0.002016407499186397,0.00047929199394742633,0.0002458940241357181,-0.00024095620510554714,-0.0008363885357196809,-0.00046473083801929806,-0.0010159276784789076,5.693772199865972e-05,0.00018480097785123907,-0.00011927974916344602,-9.804805242174976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W2,220332,0.03450258767740421,-0.08928586668089387,-0.015033264063519207,-0.0021441451416066327,0.007706431057943945,0.006946197419330685,0.019739266032995334,-0.004578570341780905,-0.004492916568440797,-0.009448378716906625,0.0034432453054118084,-0.0021027996110903895,0.001435132871444661,0.0004601552452775712,-0.00339149651598705,0.001877800744282396,0.004652528731600732,0.0011524876936424662,0.004210201688377436,0.00038277132707241024,-0.0001636986051932507,0.0008124996551864602,0.0015152642562714725,4.9522791548120524e-05,-0.0009255836122921955,-8.222817361779348e-05,0.000638422524624194,-0.0006878969155376079,-0.0005217921399948572,0.0001255109690148645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
