sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
Por1_E1,220323,-0.26296567885710065,-0.15795858484500153,-0.09157982156504624,-0.0415766781144761,0.024630587988149863,-0.03730718434195507,0.005043515092166976,-0.08914210360397411,-0.003844264375222991,0.00519318436482895,0.007274142311500287,-0.010592654163242017,-0.019704517059999677,0.009177953257313782,-0.00609874646343959,0.007481471908135884,0.005805562736017398,-0.0072022549594414976,-0.008215684938905354,0.0023626011131505607,-0.0026886809592585265,0.00026491005761327226,0.029801638946374793,-0.004975580789249884,-0.007300625596680039,-0.0006326090189938111,0.0004946444726427108,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E2,220324,-0.3113554615357957,-0.11816390083543117,-0.07205391818354336,0.006855196517039916,-0.019117667500425324,-0.009425710171393773,-0.0037736420872428525,-0.012217090116255845,0.014680214485344033,0.008118090133119517,-0.02710157193899789,-0.0018489116706508514,0.008052644202302296,-0.0013892735402601408,0.018095209389488442,-0.01420806735003238,-0.004334921411900785,-0.00018150367628652503,-0.000997285569431033,-0.005315002755740057,0.008794468951804761,-0.006044041714621867,-0.0067257563174420295,0.0005577004807773075,-0.007736476574403514,-0.005790788334568992,0.0026621263451631627,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E3,220325,-0.27612258638422227,-0.12121372374962715,-0.11739339136458433,-0.014331346255736031,0.04635494399833469,0.09535214693960445,0.05133229973157534,0.010925204610935036,0.03818989533432072,0.0015628542307851879,0.04053135408867347,-0.0068400454904605,-0.020010659889088855,0.018940949635399038,-0.0021753423812771637,-0.004003653995999646,0.00809302655639789,-0.00957559929680354,-0.007932637622711505,-0.000512814217134451,-0.007577729810796496,0.0006103583899896638,0.006571455724798706,0.00612170930327584,-0.001889253759609296,-0.002219841353742877,9.436763773880884e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_E4,220326,-0.2936806435380304,-0.10899234422831827,-0.060777050350030615,-0.03955939852822513,-0.1276150596232788,0.01573036055900254,0.06828195561165407,-0.025523266211398096,-0.022194112812834142,-0.0054970629377144664,-0.004506899749929692,-0.007095209819135174,0.0020543178787251347,-0.018906059255181327,0.0019597486323737947,0.0021034979344104303,-0.002271517738130852,-0.0007019159569196423,-0.0034030984422839987,-0.0024901214967953866,0.0015308847006569404,-0.0013103849281459105,0.003306020994344213,-0.0006483393350390203,-0.0003994627925608407,-0.0013633667782101933,0.00012085372132780679,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W1,220327,-0.3063554834792736,-0.11842890310040248,-0.06801702990051772,0.004320914000692517,-0.022894459632200232,-0.028728862115695412,-0.02940639528901787,0.0641524751067418,-0.0026307079610070304,-0.002575862659302036,-0.0009625643136162318,0.008631038533959088,0.021309009796141316,-0.009218363400056667,-0.007874013334286388,0.004913857332640209,0.004190927492502349,6.777840759784191e-05,-0.01056359193896274,0.0030400936380049755,0.008474759847499133,-0.002556389372288259,0.007745401700822376,-0.008007318734202257,0.00849658570958474,0.007689918207991274,-8.67827193646859e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W2,220328,-0.3072639899772558,-0.11561099541618831,-0.07193320643812065,-0.008206007891177786,-0.027106373986932865,0.0003732872411556855,0.015475330539514285,0.032928274482267504,0.07128431488416483,-0.002811652381545761,0.0299163327933676,-0.004543880377220794,-0.0005990981734355439,0.00533244248216032,0.0051995146548812965,-0.009972479643098877,-0.013339270270853605,-9.958676372454796e-05,0.0023003680452349236,-0.0011793728100735865,0.011572227435980286,-0.001375343647494108,-0.005918137465870591,-0.007740415655086577,0.00034618529145670094,0.0034655299761666377,-0.00016836843752751762,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W3,220329,-0.30083044250641094,-0.11109042768900206,-0.0632437219285049,0.014877803608441724,-0.024793521177373264,-0.030694584518383354,-0.045911496598621045,0.09468727446620945,-0.02434883179812802,-0.005461377480222403,0.006018814353731886,-0.005062601944753768,-0.02993510006578406,0.02450007286432409,-0.0029633021783258737,0.01349900529187519,0.001170451774617045,0.012367364171087218,0.002731716886373199,-0.00033070675340700904,-0.0036144696204021788,0.0003583165790786519,-0.005848540138433775,0.00886705877634156,-0.004479859478892087,-0.0063248911746792745,-0.0001253796489701549,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por1_W4,220330,-0.3111570355791779,-0.12024545807774929,-0.07215192596241683,0.002411454190992131,-0.017605162288789784,-0.014300272786141922,-0.0022795839881028838,-0.011585325114163415,0.016300097919316008,0.007963554862381672,-0.024654533913394845,-0.0020257520401733052,0.007286728564863814,-0.0003015254804723246,0.017777300168262726,-0.009897533765387434,-0.009382533858777542,0.0029968167774965257,0.0018097544854593147,-0.0030935694671000323,0.0063858553125394416,-0.003783861985143998,0.0033991668658427078,-0.0012107034819993795,-0.00852492382460722,-0.0024911958469730506,-0.0031122723806994187,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W1,220331,0.2823293438253683,-0.10127299963740481,-0.06843101270228276,-0.0013253533743585743,0.03988259624424685,0.0724181764969661,-0.06626506684415033,-0.018872840969367692,-0.029164419273775024,-0.01286286812538721,0.026109493816872158,0.02390329767041558,-0.01278170926107039,-0.001984712341701542,0.0077411267695810405,-0.015318535939464677,-0.014947997072124993,0.004219793848131029,-0.0107025411654577,0.003384802036175151,-0.001530153311801525,0.0033447835124132057,0.0018091977552762235,0.0037193207923216006,-0.0013846002171700369,0.0007237229456740501,-0.00027355248024418696,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W2,220332,0.3040723659087582,-0.10844932631707838,-0.08403493387698574,-0.01911103350014716,-0.017114238895993082,-0.023144732391394144,-0.07541925265638069,-0.008806253337435253,0.03629865988012814,0.013646490241707936,-0.01274141098496481,-0.03667247815834366,0.007527601662695489,-0.0022810836663170807,0.002402427266948491,0.007166414872068649,0.005691375626658318,0.0020836287901570337,-0.005073732053089357,0.01568148124708322,0.001328530239636559,0.0020381012002391534,-0.0030107609306711993,0.0004109033247597293,-0.00031749026515473207,-0.003066263503366871,4.381953355763651e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W3,220333,0.3326985965442814,-0.08773549141302124,-0.09705078540380646,-0.09153317872654566,-0.043836998426242835,0.06294421049656716,0.052173863897458685,0.03184591982491404,0.049421435733676584,-0.007286404574723738,0.0359424403520795,-0.0149433480806084,-0.022719704516248485,-0.0028718523663487537,-0.00040191502840867247,-0.005489992529000737,0.002521322602336495,-0.005550303745261958,0.005319874133056695,0.0004687755316441871,-0.00397296068623762,0.002784340365372177,-0.0008485874590434119,-0.0014069892913358467,0.0028271958458020883,0.0025526149446842236,0.0001668324627665981,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
