ITS2 type profile		C15-C15ev-C15dt-C15kl-C15pm	C15-C15ad-C15ai-C116-C116aa	C15-C15ev-C15by	C15-C15ev-C15dt	C15-C15ev	C15-C15by-C15ai
220331	Por2_W1	21154.0	0	0	0	0	0
220339	Por2_E3	22206.0	0	0	0	0	0
220341	Por2_E5	23002.0	0	0	0	0	0
220338	Por2_E2	22699.0	0	0	0	0	0
220332	Por2_W2	29920.0	0	0	0	0	0
220342	Por2_E6	16893.0	0	0	0	0	0
220334	Por2_W4	23149.0	0	0	0	0	0
220333	Por2_W3	24140.0	0	0	0	0	0
220337	Por2_E1	22385.0	0	0	0	0	0
220336	Por2_W6	21656.0	0	0	0	0	0
220335	Por2_W5	22037.0	0	0	0	0	0
220340	Por2_E4	26011.0	0	0	0	0	0
220346	Por3_E4	0	24983.0	0	0	0	0
220360	Por5_E2	0	20265.0	0	0	0	0
220345	Por3_E3	0	22948.0	0	0	0	0
220350	Por3_W4	0	21227.0	0	0	0	0
220344	Por3_E2	0	24450.0	0	0	0	0
220349	Por3_W3	0	30223.0	0	0	0	0
220343	Por3_E1	0	22553.0	0	0	0	0
220361	Por5_E3	0	23943.0	0	0	0	0
220365	Por5_W3	0	23159.0	0	0	0	0
220366	Por5_W4	0	12991.0	0	0	0	0
220362	Por5_E4	0	22571.0	0	0	0	0
220352	Por4_E2	0	0	24024.0	0	0	0
220355	Por4_W1	0	0	17734.0	0	0	0
220354	Por4_E4	0	0	24330.0	0	0	0
220357	Por4_W3	0	0	27192.0	0	0	0
220356	Por4_W2	0	0	22574.0	0	0	0
220358	Por4_W4	0	0	21401.0	0	0	0
220363	Por5_W1	0	0	17117.0	0	0	0
220359	Por5_E1	0	0	22120.0	0	0	0
220351	Por4_E1	0	0	20980.0	0	0	0
220353	Por4_E3	0	0	16119.0	0	0	0
220373	Por6_W3	0	0	0	24869.0	0	0
220323	Por1_E1	0	0	0	24605.0	0	0
220370	Por6_E4	0	0	0	29408.0	0	0
220325	Por1_E3	0	0	0	31711.0	0	0
220372	Por6_W2	0	0	0	27699.0	0	0
220369	Por6_E3	0	0	0	23992.0	0	0
220374	Por6_W4	0	0	0	23991.0	0	0
220368	Por6_E2	0	0	0	26370.0	0	0
220367	Por6_E1	0	0	0	0	24361.0	0
220329	Por1_W3	0	0	0	0	21636.0	0
220330	Por1_W4	0	0	0	0	26573.0	0
220324	Por1_E2	0	0	0	0	33034.0	0
220328	Por1_W2	0	0	0	0	25293.0	0
220326	Por1_E4	0	0	0	0	18253.0	0
220327	Por1_W1	0	0	0	0	33057.0	0
220371	Por6_W1	0	0	0	0	21921.0	0
220348	Por3_W2	0	0	0	0	0	17305.0
220364	Por5_W2	0	0	0	0	0	22517.0
220347	Por3_W1	0	0	0	0	0	20629.0
