ITS2 type profile		C15-C15ev-C15dt-C15kl-C15pm	C15-C15ad-C15ai-C116-C116aa	C15-C15ev-C15by	C15-C15ev-C15dt	C15-C15ev	C15-C15by-C15ai
220331	Por2_W1	0.8666120442441623	0	0	0	0	0
220339	Por2_E3	0.8661362040720805	0	0	0	0	0
220341	Por2_E5	0.8625642179472757	0	0	0	0	0
220338	Por2_E2	0.8606908580745459	0	0	0	0	0
220332	Por2_W2	0.8521303258145363	0	0	0	0	0
220342	Por2_E6	0.8517192699405062	0	0	0	0	0
220334	Por2_W4	0.8451007593457944	0	0	0	0	0
220333	Por2_W3	0.8446170532871488	0	0	0	0	0
220337	Por2_E1	0.8424915318027851	0	0	0	0	0
220336	Por2_W6	0.839444918210714	0	0	0	0	0
220335	Por2_W5	0.8384188099223863	0	0	0	0	0
220340	Por2_E4	0.8383343539497856	0	0	0	0	0
220346	Por3_E4	0	0.9056733732100779	0	0	0	0
220360	Por5_E2	0	0.9048086797338929	0	0	0	0
220345	Por3_E3	0	0.9028958136606862	0	0	0	0
220350	Por3_W4	0	0.8917783472671512	0	0	0	0
220344	Por3_E2	0	0.8869943769272628	0	0	0	0
220349	Por3_W3	0	0.8859672265705156	0	0	0	0
220343	Por3_E1	0	0.8854383416434376	0	0	0	0
220361	Por5_E3	0	0.8745023558201541	0	0	0	0
220365	Por5_W3	0	0.8695276713974619	0	0	0	0
220366	Por5_W4	0	0.8657203785152605	0	0	0	0
220362	Por5_E4	0	0.8598803763952912	0	0	0	0
220352	Por4_E2	0	0	0.9027506388095596	0	0	0
220355	Por4_W1	0	0	0.8959280590077802	0	0	0
220354	Por4_E4	0	0	0.8935654473336272	0	0	0
220357	Por4_W3	0	0	0.8876122082585278	0	0	0
220356	Por4_W2	0	0	0.8856021969399765	0	0	0
220358	Por4_W4	0	0	0.8853266040623836	0	0	0
220363	Por5_W1	0	0	0.8850568769389866	0	0	0
220359	Por5_E1	0	0	0.881380244650755	0	0	0
220351	Por4_E1	0	0	0.8743852629824123	0	0	0
220353	Por4_E3	0	0	0.8726652590547345	0	0	0
220373	Por6_W3	0	0	0	0.9400846752854011	0	0
220323	Por1_E1	0	0	0	0.9375119070299105	0	0
220370	Por6_E4	0	0	0	0.9334687658710005	0	0
220325	Por1_E3	0	0	0	0.9329234209055338	0	0
220372	Por6_W2	0	0	0	0.9299959709911362	0	0
220369	Por6_E3	0	0	0	0.9249749402421158	0	0
220374	Por6_W4	0	0	0	0.9210304054054054	0	0
220368	Por6_E2	0	0	0	0.9181754874651811	0	0
220367	Por6_E1	0	0	0	0	0.9305550250200543	0
220329	Por1_W3	0	0	0	0	0.927588424437299	0
220330	Por1_W4	0	0	0	0	0.9214897527482054	0
220324	Por1_E2	0	0	0	0	0.9210394245246194	0
220328	Por1_W2	0	0	0	0	0.9185429982568275	0
220326	Por1_E4	0	0	0	0	0.9163612631156183	0
220327	Por1_W1	0	0	0	0	0.9158078457446809	0
220371	Por6_W1	0	0	0	0	0.9155111927831607	0
220348	Por3_W2	0	0	0	0	0	0.8814241328375694
220364	Por5_W2	0	0	0	0	0	0.8719408302354399
220347	Por3_W1	0	0	0	0	0	0.8672748675691583
