sample_uid	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220331	0	20212	279	581	0	168	370	0	289	0	0	257	300	0	261	0	0	0	0	0	229	271	0	260	191	145	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220339	0	21210	301	593	0	160	412	0	353	0	0	277	348	0	241	0	0	0	0	0	244	238	0	288	209	177	0	0	0	178	0	0	0	0	136	0	0	0	0	0	0	0	135	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220341	0	21981	258	657	0	182	361	0	331	0	0	294	285	0	261	0	0	0	0	0	271	258	0	317	207	208	0	0	0	219	0	0	0	0	0	0	0	0	151	0	0	0	140	0	129	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220338	0	21667	300	492	0	144	503	0	333	0	0	282	365	0	262	0	0	0	0	0	294	301	0	459	203	188	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	125	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220332	0	28658	345	770	0	243	545	0	441	0	0	361	402	0	303	0	0	0	0	0	337	325	194	358	267	253	0	0	0	311	0	0	0	0	187	0	0	0	0	0	0	0	230	0	196	0	0	0	191	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220342	0	16183	199	411	0	168	301	0	221	0	0	201	242	0	181	0	0	0	0	0	188	177	100	203	129	129	0	279	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	115	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220334	0	22175	256	643	0	180	368	0	320	0	0	250	336	0	256	0	0	0	0	0	278	279	187	297	193	212	0	354	0	160	0	0	0	0	174	0	0	0	0	0	0	0	0	0	150	0	0	0	165	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220333	0	23076	284	586	0	184	425	0	362	0	0	328	359	0	241	0	0	0	0	0	266	296	0	255	186	211	0	295	0	192	0	0	0	0	136	0	0	0	0	0	0	0	157	0	155	0	0	0	142	142	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220337	0	21396	273	656	0	228	392	0	323	0	0	289	363	0	238	0	0	0	0	0	263	272	0	278	208	189	0	0	0	231	0	0	0	0	0	0	0	0	130	0	0	0	166	0	133	0	0	0	139	154	116	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220336	0	20721	277	639	0	178	395	0	313	0	0	242	294	0	222	0	0	0	0	0	253	229	0	296	252	194	0	0	0	209	0	0	0	0	152	0	0	0	0	0	0	0	0	0	149	0	0	0	160	150	108	0	0	0	0	0	0	111	0	0	0	0	0	0	131	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220335	0	21063	267	590	0	156	368	0	299	0	0	246	347	0	251	0	0	0	0	0	270	256	0	268	200	210	0	332	0	168	0	0	0	0	131	0	0	0	130	0	0	0	173	0	143	0	0	0	158	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0
220340	0	24800	374	680	0	214	459	0	404	0	0	336	425	0	252	0	0	0	0	0	294	317	0	342	237	249	0	0	0	233	0	0	0	0	158	0	0	0	143	0	0	0	166	0	153	0	0	0	163	162	0	0	0	0	0	0	0	175	0	0	0	0	0	0	137	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220346	0	23225	0	0	748	308	0	568	0	367	716	0	0	0	0	642	335	263	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220360	0	19204	0	309	241	346	201	0	154	244	0	0	148	0	0	0	230	157	0	0	0	0	113	0	129	0	0	0	131	115	0	0	0	0	195	0	0	0	222	0	0	0	113	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
