sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
220331	Por2_W1	20240419_MY_BK_Por2_West_top1_field_MetaB_ITS2_Q2181795EL_Q2181148GQ_2411-cv-1351_R1.fastq.gz	cea87aad6ac8280a65dc9a6acb41acb1143523139196c4b87a4b7385a9c9dd9b	20240419_MY_BK_Por2_West_top1_field_MetaB_ITS2_Q2181795EL_Q2181148GQ_2411-cv-1351_R2.fastq.gz	c11c43856e7347d385ea9e8724eb138ba8d85e5570f75fbb27aa84c2a0e07d71	1154	20250219T114321_schloma1	2.5292503072511265	1.0342482589102826	0.016018025399426466	1.0323228185170013	0.015977058582548137	0.001925440393281442	4.096681687832855e-05	0.0	0.0	1.0	0.000737402703809914	0	0	0.05251945923801721	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5
220339	Por2_E3	20240419_MY_BK_Por2_East_middle3_field_MetaB_ITS2_Q2181803EG_Q2181164G8_2411-cv-1359_R1.fastq.gz	75f0a951789546dce8af7d405e5447b6d92227550c2f124a940d5a21648ca9ec	20240419_MY_BK_Por2_East_middle3_field_MetaB_ITS2_Q2181803EG_Q2181164G8_2411-cv-1359_R2.fastq.gz	86294241f5b90ce5a6a8ee5ba010283b882a72e8494483de12b46f4a6c797b07	1154	20250219T114321_schloma1	2.5804274904438724	1.0513300569467197	0.015991887042671037	1.0461034402059444	0.015913877837584835	0.005226616740775411	7.800920508620017e-05	0.0	0.0	1.0	0.0007020828457758015	0	0	0.047234573679694206	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.8
220341	Por2_E5	20240419_MY_BK_Por2_East_bottom5_field_MetaB_ITS2_Q2181805EW_Q2181168G6_2411-cv-1361_R1.fastq.gz	876da27f39c1f60f028246eccfb1ff0754926fb7ba8f1fad7c35118a6af50c54	20240419_MY_BK_Por2_East_bottom5_field_MetaB_ITS2_Q2181805EW_Q2181168G6_2411-cv-1361_R2.fastq.gz	7d97d0f9d5a4d525a515d5ae71acda8b63e11156496aa199a857f6de26140977	1154	20250219T114321_schloma1	2.592792590092624	1.0414744815689805	0.0151123110961113	1.037837027037162	0.01503731203359958	0.0036374545318183524	7.49990625117186e-05	0.0	0.0	1.0	0.0007124910938613267	0	0	0.04518693516331045	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	3.2
220338	Por2_E2	20240419_MY_BK_Por2_East_top2_field_MetaB_ITS2_Q2181802E8_Q2181162GQ_2411-cv-1358_R1.fastq.gz	c423b9391d6eb0c4e7a7b11b8eabffeecc5f21855e29cee007d33a267027bdc4	20240419_MY_BK_Por2_East_top2_field_MetaB_ITS2_Q2181802E8_Q2181162GQ_2411-cv-1358_R2.fastq.gz	76912a58c704f402a7a77dd5cce2141f95a625ef847683d06bd76307596d303d	1154	20250219T114321_schloma1	2.597542941644864	1.0428089333788344	0.015091191749137376	1.0377279793728433	0.0150153566147196	0.0050809540059909755	7.583513441777576e-05	0.0	0.0	1.0	0.0006825162097599818	0	0	0.05714177378379403	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5
220332	Por2_W2	20240419_MY_BK_Por2_West_top2_field_MetaB_ITS2_Q2181796ET_Q2181150G3_2411-cv-1352_R1.fastq.gz	ebe6532eb59328aa85095f25785068a57035fb9369c420d6e2e7c0e150de4605	20240419_MY_BK_Por2_West_top2_field_MetaB_ITS2_Q2181796ET_Q2181150G3_2411-cv-1352_R2.fastq.gz	84ac2d7b3f35fc6167a715636f9800d7aeba6c7b131a6e2c695455560b64d82e	1154	20250219T114321_schloma1	2.5787480063795853	1.0369958988380041	0.013613579403053088	1.0358851674641147	0.013585099111414901	0.0011107313738892687	2.8480291638186374e-05	0.0	0.0	1.0	0.0005980861244019139	0	0	0.05266005923900661	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.9
220342	Por2_E6	20240419_MY_BK_Por2_East_bottom6_field_MetaB_ITS2_Q2181806E6_Q2181170GH_2411-cv-1362_R1.fastq.gz	33be4f634be6e15e3cca8c181e0da13bd35bf6900a6f625c2be5efa168692d6a	20240419_MY_BK_Por2_East_bottom6_field_MetaB_ITS2_Q2181806E6_Q2181170GH_2411-cv-1362_R2.fastq.gz	ca369e7c0a6b9715041dd10101df321601e4dcc16ea30b3859b8c8fd5760b0fa	1154	20250219T114321_schloma1	2.574468085106383	1.0251588181909852	0.015881819098517696	1.0226378945245538	0.01583140062518907	0.0025209236664313806	5.041847332862761e-05	0.0	0.0	1.0	0.0010083694665725521	0	0	0.06009882020772411	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	3.8
220334	Por2_W4	20240419_MY_BK_Por2_West_middle4_field_MetaB_ITS2_Q2181798EB_Q2181154G1_2411-cv-1354_R1.fastq.gz	8bf6033ed3d469d63e5cdf73069a894fdef28a9b6cd4f4ecd4964824212f074b	20240419_MY_BK_Por2_West_middle4_field_MetaB_ITS2_Q2181798EB_Q2181154G1_2411-cv-1354_R2.fastq.gz	e7a038057f68021061fff3636de3cd2d8d7c746b95b3ada3a930b4a56eba1251	1154	20250219T114321_schloma1	2.539573598130841	1.0231454439252337	0.014675817757009347	1.0205534462616823	0.014639310747663552	0.0025919976635514017	3.650700934579439e-05	0.0	0.0	1.0	0.0007666471962616822	0	0	0.052862149532710276	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	2.9
220333	Por2_W3	20240419_MY_BK_Por2_West_middle3_field_MetaB_ITS2_Q2181797E3_Q2181152GJ_2411-cv-1353_R1.fastq.gz	bdb1ba876137b70839f12e5f1e06a7e45a6260b96dccd043bfbdc5a548acbfff	20240419_MY_BK_Por2_West_middle3_field_MetaB_ITS2_Q2181797E3_Q2181152GJ_2411-cv-1353_R2.fastq.gz	6682e6cde9199fa613ff45e229a6d10553863d5e30170e8bd991551f40f30fe4	1154	20250219T114321_schloma1	2.566530212378853	1.027010951331304	0.01588467863265806	1.0249816311535636	0.0158496903537315	0.002029320177740457	3.49882789265596e-05	0.0	0.0	1.0	0.0008047304153108709	0	0	0.0648682691298415	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	2.3
220337	Por2_E1	20240419_MY_BK_Por2_East_top1_field_MetaB_ITS2_Q2181801E0_Q2181160GA_2411-cv-1357_R1.fastq.gz	c844cb8d106a0f9f5eaa4c58575ea2c5756879a6209930728d755a7f84ed45a7	20240419_MY_BK_Por2_East_top1_field_MetaB_ITS2_Q2181801E0_Q2181160GA_2411-cv-1357_R2.fastq.gz	657040adad5a86b8ca045bb3069438e3d21564bf83f659f38763b14030ec22de	1154	20250219T114321_schloma1	2.585434700790365	1.0372224313135114	0.014828754234098608	1.0338727888596162	0.014753481369966128	0.003349642453895371	7.527286413248025e-05	0.0	0.0	1.0	0.0008280015054572827	0	0	0.057508468197214904	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	1.5
220336	Por2_W6	20240419_MY_BK_Por2_West_bottom6_field_MetaB_ITS2_Q2181800EQ_Q2181158GX_2411-cv-1356_R1.fastq.gz	756ec64a42004d349ab9835a1dd7c8d08682dc291f9103f7d64989743d760e27	20240419_MY_BK_Por2_West_bottom6_field_MetaB_ITS2_Q2181800EQ_Q2181158GX_2411-cv-1356_R2.fastq.gz	e184d5a4defe80e52509e7fb9f10afd0b83e0df2bf3a63b15e530c57a4f17517	1154	20250219T114321_schloma1	2.547406775719048	1.0334134429025505	0.015039925575626018	1.029924800372122	0.014962400186060935	0.0034886425304287154	7.752538956508256e-05	0.0	0.0	1.0	0.0008915419799984495	0	0	0.05709744941468331	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.78911100	102.90396400	20240419	4.8
