ITS2 type profile UID		1323951	1321410	1323886	1321168	1323259	1326013
Clade		C	C	C	C	C	C
Majority ITS2 sequence		C15	C15	C15	C57d	C15	C15
Associated species		None	None	None	None	None	None
ITS2 profile abundance local		4	2	2	2	2	2
ITS2 profile abundance DB		4	227	15	24	26	182
ITS2 type profile		C15-C15aae	C15-C15bn-C15by	C15/C116aa-C15ad	C57d/C57a	C15-C15kl-C15he	C15-C15ad-C15ai-C116-C116aa
226781	Por_02_Bottom	19482.0	0	0	0	0	0
226779	Por_01_Bottom	24402.0	0	0	0	0	0
226780	Por_02_Top	26833.0	0	0	0	0	0
226778	Por_01_Top	22103.0	0	0	0	0	0
226789	Por_07_Bottom	0	26167.0	0	0	0	0
226788	Por_07_Top	0	20413.0	0	339.0	0	0
226785	Por_04_Bottom	0	0	23532.0	0	0	0
226784	Por_04_Top	0	0	25753.0	736.0	0	0
226783	Por_03_Bottom	0	0	0	0	28481.0	0
226782	Por_03_Top	0	0	0	0	19527.0	0
226787	Por_06_Bottom	0	0	0	0	0	28416.0
226786	Por_06_Top	0	0	0	0	0	19915.0
Sequence accession / SymPortal UID		517-23166	517-611-1574	517-10874-5364	9780-9779	517-714-14272	517-5364-10874-523-632
Average defining sequence proportions and [stdev]		0.749[0.023]-0.251[0.023]	0.844[0.007]-0.140[0.005]-0.016[0.002]	0.964[0.001]-0.022[0.003]-0.015[0.001]	0.669[0.045]-0.331[0.045]	0.936[0.005]-0.052[0.004]-0.012[0.001]	0.857[0.008]-0.048[0.004]-0.044[0.001]-0.029[0.002]-0.022[0.001]
