ITS2 type profile		C15-C15aae	C15-C15bn-C15by	C15/C116aa-C15ad	C57d/C57a	C15-C15kl-C15he	C15-C15ad-C15ai-C116-C116aa
226781	Por_02_Bottom	0.882376919244531	0	0	0	0	0
226779	Por_01_Bottom	0.8739971346704871	0	0	0	0	0
226780	Por_02_Top	0.8686067590314644	0	0	0	0	0
226778	Por_01_Top	0.8682825267127593	0	0	0	0	0
226789	Por_07_Bottom	0	0.8796813016876218	0	0	0	0
226788	Por_07_Top	0	0.8617443431273218	0	0.014311043566362716	0	0
226785	Por_04_Bottom	0	0	0.878584229390681	0	0	0
226784	Por_04_Top	0	0	0.8207081168934638	0.023455177029223367	0	0
226783	Por_03_Bottom	0	0	0	0	0.8898922043430714	0
226782	Por_03_Top	0	0	0	0	0.8851767905711695	0
226787	Por_06_Bottom	0	0	0	0	0	0.8859788607239735
226786	Por_06_Top	0	0	0	0	0	0.854134499914222
