sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C15	C15aae	C15bn	C15ai	C15by	C116aa	C15ay	C15ad	C15he	C93l	5366364_C	38400_C	C15tf	38401_C	C15pe	C116ab	5299311_C	3197409_C	C15cn	C15gu	C15mg	C116	C15ev	C93a	C15je	568188_C	C89i	C57d	190219_C	C15kl	22914_C	69713_C	C116ao	C15jr	C15dt	22917_C	446681_C	C3pa	4686_C	C57a	C116ak	C15gk	C116i	C15bq	32310_C	357890_C	13451_C	654644_C	C15aj	C15fh	38402_C	4661_C	776_C	35743_C	3480539_C	C15er	5366365_C
226781	Por_02_Bottom	Q2181842E2_20250128151302__GAD_Por02_S56_R1_001.fastq.gz	358f5c7035ee6b1193ea6946f18ca7ca14a70c59dd99e27dda1a2fcda9e2aea8	Q2181842E2_20250128151302__GAD_Por02_S56_R2_001.fastq.gz	384393a70c4136fe551a90e486bb14a3b3ccea6e75bc6ad5caedad09b119363f	1196	20250509T121528_hannama1	60776	23264	327	23264	327	0	0	0	0	22079	12	0	0	1123	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3-4	14960	4522	133	162	381	0	464	0	0	0	390	356	0	247	190	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
226779	Por_01_Bottom	Q2181840EK_20250128151302__GAD_Por01_S54_R1_001.fastq.gz	8da63bc2d97f617c91735ba40e748f29422d7753e2bfb93ac9a3dca4d8f3b05e	Q2181840EK_20250128151302__GAD_Por01_S54_R2_001.fastq.gz	9d950ea4a877e141746a1b9a0dfd3766a5fb52376194cb7d2c9bb465bc0d8235	1196	20250509T121528_hannama1	78206	29518	427	29518	427	0	0	0	0	27920	14	0	0	1575	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	17457	6945	161	188	457	0	544	0	0	0	625	405	0	304	175	0	0	0	0	0	0	0	0	152	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	123
226780	Por_02_Top	Q2181841ES_20250128151302__GAD_Por02_S55_R1_001.fastq.gz	c1845ec37d5fe229e3959b1d5b53cd998031cc535bdaffefc1e18e007a1f0e89	Q2181841ES_20250128151302__GAD_Por02_S55_R2_001.fastq.gz	a37560d0eb62414d6fa5201aee065d461fac6439e63107fffc51785643616e5f	1196	20250509T121528_hannama1	86523	32163	430	32163	430	0	0	0	0	30892	15	0	0	1522	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	20274	6559	191	228	451	0	668	0	0	0	567	470	0	321	288	0	0	0	0	0	0	0	0	192	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	164	0	0	0	0	0	0	0	0	0	163	0
226778	Por_01_Top	Q2181839EH_20250128151302__GAD_Por01_S53_R1_001.fastq.gz	03b1ab64058d0e4cedb94b53f03d4385e2f2e6e44c131027662878f9cbc08731	Q2181839EH_20250128151302__GAD_Por01_S53_R2_001.fastq.gz	9a14bddcaf46a5ca9380bc88686e658449092d57671b1e13f61c838d245803bf	1196	20250509T121528_hannama1	70405	26888	411	26888	411	0	0	0	0	25456	14	0	0	1286	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	1	16705	5398	167	161	391	0	580	0	0	0	424	443	0	300	216	0	0	0	0	0	0	0	0	158	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	119	0	0	0	0	0	0	0	0	0	0	0
226789	Por_07_Bottom	Q2181852E9_20250128151302__GAD_Por07_S66_R1_001.fastq.gz	2446dfeecb317ea18829f777fd2f173c3297b8725af7eacf93186bb528e72b7f	Q2181852E9_20250128151302__GAD_Por07_S66_R2_001.fastq.gz	155e767f74d9a511707e8b5401ae6600ef512099ae9877fd3fdc1ec01ad4161d	1196	20250509T121528_hannama1	78179	31301	408	31301	408	0	0	0	0	29746	15	0	0	674	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4-5	21968	410	3749	339	450	0	422	0	0	0	0	0	0	202	351	0	0	0	0	0	0	0	602	171	0	0	0	0	0	0	0	240	0	0	195	0	0	0	0	0	0	153	0	0	0	0	0	0	0	262	232	0	0	0	0	0	0
226788	Por_07_Top	Q2181851E1_20250128151302__GAD_Por07_S65_R1_001.fastq.gz	88b80be54f97573623cd31b80af502bfa85df99d478a9b5f21c173ee5e0a9ecc	Q2181851E1_20250128151302__GAD_Por07_S65_R2_001.fastq.gz	98887c5d312f0bfb9bfcc278745c8464887a54519396662980d9bdca8abb6904	1196	20250509T121528_hannama1	63725	24882	364	24882	364	0	0	0	0	23688	16	0	0	760	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3	17325	329	2790	232	298	0	333	0	0	0	0	0	0	172	308	0	0	0	0	0	0	0	434	195	0	361	0	216	0	0	0	227	0	0	202	0	0	0	0	123	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226785	Por_04_Bottom	Q2181846E0_20250128151302__GAD_Por04_S60_R1_001.fastq.gz	42902c68ccbb4f148b320f3d65037fce34412bbba3f992126d6eacf6d1865409	Q2181846E0_20250128151302__GAD_Por04_S60_R2_001.fastq.gz	1d3056f649bb8c3335435aa3c83544bd1ec88f2cc406e233d9bde5deda1f68ca	1196	20250509T121528_hannama1	65145	27405	337	27401	336	0	0	4	1	26784	10	0	0	1169	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4-5	22700	0	0	0	0	462	0	370	0	678	0	0	834	0	0	0	740	0	0	0	0	0	0	0	0	0	402	0	306	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0
226784	Por_04_Top	Q2181845EQ_20250128151302__GAD_Por04_S59_R1_001.fastq.gz	14a8b301b9afca81f3d7a71a8d1fb79d4aa5b79717d9a963398f682e8fe48de9	Q2181845EQ_20250128151302__GAD_Por04_S59_R2_001.fastq.gz	89dc3a3866101564a33ec6593e193427ec2b0eea636396d9122fab2ac1893686	1196	20250509T121528_hannama1	83022	32984	477	32980	476	0	0	4	1	31379	17	0	0	2037	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3-4	24791	0	0	336	0	609	0	353	0	835	0	0	899	0	0	0	678	0	0	0	0	0	0	178	0	465	377	516	339	0	244	0	0	0	0	0	0	228	0	220	0	0	0	0	0	0	0	140	0	0	0	0	0	0	171	0	0
226783	Por_03_Bottom	Q2181844EI_20250128151302__GAD_Por03_S58_R1_001.fastq.gz	5dd9193974191c51f2ee4997081b97c58b29e4b4342049cafb9c0de1a78cdc28	Q2181844EI_20250128151302__GAD_Por03_S58_R2_001.fastq.gz	bbd765bb664cf86212851b38e70c95ac5196ae39b6cb7be5fce73f06f2e90780	1196	20250509T121528_hannama1	80797	33147	392	33147	392	0	0	0	0	32005	13	0	0	1283	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4	26760	0	140	430	662	0	0	0	1411	0	0	0	0	0	0	0	0	667	697	0	0	0	0	0	0	0	0	0	0	310	0	0	0	167	0	0	210	0	217	0	0	0	0	0	0	0	0	0	145	0	0	0	0	189	0	0	0
226782	Por_03_Top	Q2181843EA_20250128151302__GAD_Por03_S57_R1_001.fastq.gz	1978e90dc5f94d888bf22588d23c16652e9e0e88fe44deeb54246472b6c68c9e	Q2181843EA_20250128151302__GAD_Por03_S57_R2_001.fastq.gz	f1bf448206e948d4d37030ca3062bb9ff561143ca7baf5c00b6d1b954a3ce3bd	1196	20250509T121528_hannama1	56829	22918	298	22918	298	0	0	0	0	22060	13	0	0	990	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	18205	0	97	297	441	0	0	0	1073	0	0	0	0	0	0	0	0	532	499	0	0	0	0	0	0	0	0	0	0	249	0	0	0	114	0	0	167	0	146	0	0	0	0	0	0	0	0	0	95	0	0	145	0	0	0	0	0
