sample_uid	C15	C15aae	C15bn	C15ai	C15by	C116aa	C15ay	C15ad	C15he	C93l	5366364_C	38400_C	C15tf	38401_C	C15pe	C116ab	5299311_C	3197409_C	C15cn	C15gu	C15mg	C116	C15ev	C93a	C15je	568188_C	C89i	C57d	190219_C	C15kl	22914_C	69713_C	C116ao	C15jr	C15dt	22917_C	446681_C	C3pa	4686_C	C57a	C116ak	C15gk	C116i	C15bq	32310_C	357890_C	13451_C	654644_C	C15aj	C15fh	38402_C	4661_C	776_C	35743_C	3480539_C	C15er	5366365_C
226781	14960	4522	133	162	381	0	464	0	0	0	390	356	0	247	190	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
226779	17457	6945	161	188	457	0	544	0	0	0	625	405	0	304	175	0	0	0	0	0	0	0	0	152	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	123
226780	20274	6559	191	228	451	0	668	0	0	0	567	470	0	321	288	0	0	0	0	0	0	0	0	192	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	164	0	0	0	0	0	0	0	0	0	163	0
226778	16705	5398	167	161	391	0	580	0	0	0	424	443	0	300	216	0	0	0	0	0	0	0	0	158	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	119	0	0	0	0	0	0	0	0	0	0	0
226789	21968	410	3749	339	450	0	422	0	0	0	0	0	0	202	351	0	0	0	0	0	0	0	602	171	0	0	0	0	0	0	0	240	0	0	195	0	0	0	0	0	0	153	0	0	0	0	0	0	0	262	232	0	0	0	0	0	0
226788	17325	329	2790	232	298	0	333	0	0	0	0	0	0	172	308	0	0	0	0	0	0	0	434	195	0	361	0	216	0	0	0	227	0	0	202	0	0	0	0	123	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226785	22700	0	0	0	0	462	0	370	0	678	0	0	834	0	0	0	740	0	0	0	0	0	0	0	0	0	402	0	306	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0
226784	24791	0	0	336	0	609	0	353	0	835	0	0	899	0	0	0	678	0	0	0	0	0	0	178	0	465	377	516	339	0	244	0	0	0	0	0	0	228	0	220	0	0	0	0	0	0	0	140	0	0	0	0	0	0	171	0	0
226783	26760	0	140	430	662	0	0	0	1411	0	0	0	0	0	0	0	0	667	697	0	0	0	0	0	0	0	0	0	0	310	0	0	0	167	0	0	210	0	217	0	0	0	0	0	0	0	0	0	145	0	0	0	0	189	0	0	0
226782	18205	0	97	297	441	0	0	0	1073	0	0	0	0	0	0	0	0	532	499	0	0	0	0	0	0	0	0	0	0	249	0	0	0	114	0	0	167	0	146	0	0	0	0	0	0	0	0	0	95	0	0	145	0	0	0	0	0
226787	24531	0	0	773	0	1234	0	1266	0	656	0	0	0	0	0	830	0	0	0	652	624	612	0	0	0	0	0	0	0	0	188	0	268	0	0	243	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226786	16954	0	0	601	0	895	0	1008	0	446	0	0	0	0	0	656	0	0	0	493	455	457	0	0	0	0	0	0	0	0	133	0	187	121	0	160	0	0	0	0	273	0	104	0	0	0	232	0	0	0	0	0	141	0	0	0	0
