sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C15	C15aae	C15bn	C15ai	C15by	C116aa	C15ay	C15ad	C15he	C93l	5366364_C	38400_C	C15tf	38401_C	C15pe	C116ab	5299311_C	3197409_C	C15cn	C15gu	C15mg	C116	C15ev	C93a	C15je	568188_C	C89i	C57d	190219_C	C15kl	22914_C	69713_C	C116ao	C15jr	C15dt	22917_C	446681_C	C3pa	4686_C	C57a	C116ak	C15gk	C116i	C15bq	32310_C	357890_C	13451_C	654644_C	C15aj	C15fh	38402_C	4661_C	776_C	35743_C	3480539_C	C15er	5366365_C
226781	Por_02_Bottom	Q2181842E2_20250128151302__GAD_Por02_S56_R1_001.fastq.gz	358f5c7035ee6b1193ea6946f18ca7ca14a70c59dd99e27dda1a2fcda9e2aea8	Q2181842E2_20250128151302__GAD_Por02_S56_R2_001.fastq.gz	384393a70c4136fe551a90e486bb14a3b3ccea6e75bc6ad5caedad09b119363f	1196	20250509T121528_hannama1	2.75266089949726	1.05367090900856	0.014810453371982427	1.05367090900856	0.014810453371982427	0.0	0.0	0.0	0.0	1.0	0.0005435028760360524	0	0	0.05086281081570723	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3-4	0.6775669187916119	0.20481000045291906	0.0060238235427329135	0.007337288826486707	0.017256216314144663	0	0.021015444540060692	0	0	0	0.0176638434711717	0.01612391865573622	0	0.01118710086507541	0.008605462203904162	0	0	0	0	0	0	0	0	0	0.006522034512432628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005887947823723901	0	0	0	0	0	0	0	0	0	0	0	0
226779	Por_01_Bottom	Q2181840EK_20250128151302__GAD_Por01_S54_R1_001.fastq.gz	8da63bc2d97f617c91735ba40e748f29422d7753e2bfb93ac9a3dca4d8f3b05e	Q2181840EK_20250128151302__GAD_Por01_S54_R2_001.fastq.gz	9d950ea4a877e141746a1b9a0dfd3766a5fb52376194cb7d2c9bb465bc0d8235	1196	20250509T121528_hannama1	2.8010744985673353	1.0572349570200572	0.015293696275071633	1.0572349570200572	0.015293696275071633	0.0	0.0	0.0	0.0	1.0	0.0005014326647564469	0	0	0.05641117478510029	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	0.6252507163323783	0.24874641833810887	0.0057664756446991405	0.006733524355300859	0.016368194842406876	0	0.019484240687679084	0	0	0	0.02238538681948424	0.014505730659025788	0	0.010888252148997135	0.006267908309455587	0	0	0	0	0	0	0	0	0.0054441260744985676	0.009527220630372493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004226361031518625	0	0	0	0	0	0	0	0	0	0	0	0.004405444126074499
226780	Por_02_Top	Q2181841ES_20250128151302__GAD_Por02_S55_R1_001.fastq.gz	c1845ec37d5fe229e3959b1d5b53cd998031cc535bdaffefc1e18e007a1f0e89	Q2181841ES_20250128151302__GAD_Por02_S55_R2_001.fastq.gz	a37560d0eb62414d6fa5201aee065d461fac6439e63107fffc51785643616e5f	1196	20250509T121528_hannama1	2.800822219344814	1.0411433380810566	0.013919461349216625	1.0411433380810566	0.013919461349216625	0.0	0.0	0.0	0.0	1.0	0.00048556260520523113	0	0	0.04926841900815745	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	0.6562864171953904	0.21232034183607407	0.006182830506279943	0.0073805515991195135	0.01459924899650395	0	0.021623721351806294	0	0	0	0.018354266476757735	0.015214294963097242	0	0.010391039751391946	0.009322802019940438	0	0	0	0	0	0	0	0	0.006215201346626958	0.006797876472873236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472614269066425	0	0.005308817816910527	0	0	0	0	0	0	0	0	0	0.005276446976563511	0
226778	Por_01_Top	Q2181839EH_20250128151302__GAD_Por01_S53_R1_001.fastq.gz	03b1ab64058d0e4cedb94b53f03d4385e2f2e6e44c131027662878f9cbc08731	Q2181839EH_20250128151302__GAD_Por01_S53_R2_001.fastq.gz	9a14bddcaf46a5ca9380bc88686e658449092d57671b1e13f61c838d245803bf	1196	20250509T121528_hannama1	2.7657526712759273	1.0562539283469516	0.016145505971087368	1.0562539283469516	0.016145505971087368	0.0	0.0	0.0	0.0	1.0	0.0005499685732243872	0	0	0.05051854179761157	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	1	0.656230358265242	0.2120521684475173	0.006560339409176619	0.006324638592080453	0.015359836580766813	0	0.02278441231929604	0	0	0	0.016656191074795726	0.01740257699560025	0	0.011785040854808297	0.008485229415461974	0	0	0	0	0	0	0	0	0.006206788183532369	0.010017284726587052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005460402262727844	0	0.004674732872407291	0	0	0	0	0	0	0	0	0	0	0
226789	Por_07_Bottom	Q2181852E9_20250128151302__GAD_Por07_S66_R1_001.fastq.gz	2446dfeecb317ea18829f777fd2f173c3297b8725af7eacf93186bb528e72b7f	Q2181852E9_20250128151302__GAD_Por07_S66_R2_001.fastq.gz	155e767f74d9a511707e8b5401ae6600ef512099ae9877fd3fdc1ec01ad4161d	1196	20250509T121528_hannama1	2.62821892019095	1.0522759362603376	0.013716129899818463	1.0522759362603376	0.013716129899818463	0.0	0.0	0.0	0.0	1.0	0.0005042694816109729	0	0	0.02265850870705305	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4-5	0.7385194648019902	0.013783365830699926	0.1260337524373025	0.011396490284407987	0.015128084448329186	0	0.014186781415988704	0	0	0	0	0	0	0.006790829019027768	0.011799905869696765	0	0	0	0	0	0	0	0.02023801519532038	0.005748672090365091	0	0	0	0	0	0	0	0.008068311705775566	0	0	0.0065555032609426475	0	0	0	0	0	0	0.005143548712431924	0	0	0	0	0	0	0	0.00880790694547166	0.0077993679822497145	0	0	0	0	0	0
226788	Por_07_Top	Q2181851E1_20250128151302__GAD_Por07_S65_R1_001.fastq.gz	88b80be54f97573623cd31b80af502bfa85df99d478a9b5f21c173ee5e0a9ecc	Q2181851E1_20250128151302__GAD_Por07_S65_R2_001.fastq.gz	98887c5d312f0bfb9bfcc278745c8464887a54519396662980d9bdca8abb6904	1196	20250509T121528_hannama1	2.6901806822019587	1.0504052684903749	0.015366430260047281	1.0504052684903749	0.015366430260047281	0.0	0.0	0.0	0.0	1.0	0.0006754474839581223	0	0	0.03208375548801081	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3	0.7313829787234043	0.013888888888888888	0.11778115501519756	0.009793988517392773	0.012580209388720027	0	0.01405775075987842	0	0	0	0	0	0	0.007261060452549814	0.013002364066193853	0	0	0	0	0	0	0	0.018321513002364065	0.008232016210739615	0	0.015239783856805134	0	0.00911854103343465	0	0	0	0.009582911178655859	0	0	0.008527524484971294	0	0	0	0	0.005192502532928065	0	0.006036811887875718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226785	Por_04_Bottom	Q2181846E0_20250128151302__GAD_Por04_S60_R1_001.fastq.gz	42902c68ccbb4f148b320f3d65037fce34412bbba3f992126d6eacf6d1865409	Q2181846E0_20250128151302__GAD_Por04_S60_R2_001.fastq.gz	1d3056f649bb8c3335435aa3c83544bd1ec88f2cc406e233d9bde5deda1f68ca	1196	20250509T121528_hannama1	2.4322356630824373	1.0231854838709677	0.012582138590203107	1.0230361409796893	0.012544802867383513	0.0	0.0	0.00014934289127837514	3.7335722819593785e-05	1.0	0.0003733572281959379	0	0	0.04364545997610513	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4-5	0.847520908004779	0	0	0	0	0.01724910394265233	0	0.013814217443249701	0	0.025313620071684587	0	0	0.031137992831541218	0	0	0	0.027628434886499402	0	0	0	0	0	0	0	0	0	0.015008960573476702	0	0.0114247311827957	0	0	0	0	0	0	0	0	0.00630973715651135	0	0	0	0	0	0	0	0	0	0.004592293906810036	0	0	0	0	0	0	0	0	0
226784	Por_04_Top	Q2181845EQ_20250128151302__GAD_Por04_S59_R1_001.fastq.gz	14a8b301b9afca81f3d7a71a8d1fb79d4aa5b79717d9a963398f682e8fe48de9	Q2181845EQ_20250128151302__GAD_Por04_S59_R2_001.fastq.gz	89dc3a3866101564a33ec6593e193427ec2b0eea636396d9122fab2ac1893686	1196	20250509T121528_hannama1	2.645782211032856	1.0511488575161732	0.015201249243124382	1.051021383727971	0.015169380796073807	0.0	0.0	0.0001274737882023009	3.186844705057522e-05	1.0	0.0005417635998597788	0	0	0.06491602664202174	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	3-4	0.7900506708308104	0	0	0.010707798208993275	0	0.01940788425380031	0	0.011249561808853054	0	0.026610153287230313	0	0	0.028649733898467127	0	0	0	0.021606807100290004	0	0	0	0	0	0	0.0056725835750023905	0	0.01481882787851748	0.01201440453806686	0.016444118678096815	0.010803403550145002	0	0.007775901080340355	0	0	0	0	0	0	0.007266005927531152	0	0.007011058351126549	0	0	0	0	0	0	0	0.004461582587080531	0	0	0	0	0	0	0.005449504445648364	0	0
226783	Por_03_Bottom	Q2181844EI_20250128151302__GAD_Por03_S58_R1_001.fastq.gz	5dd9193974191c51f2ee4997081b97c58b29e4b4342049cafb9c0de1a78cdc28	Q2181844EI_20250128151302__GAD_Por03_S58_R2_001.fastq.gz	bbd765bb664cf86212851b38e70c95ac5196ae39b6cb7be5fce73f06f2e90780	1196	20250509T121528_hannama1	2.5245117950320264	1.0356819246992657	0.012248086236525542	1.0356819246992657	0.012248086236525542	0.0	0.0	0.0	0.0	1.0	0.0004061865333541634	0	0	0.040087486330260894	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	4	0.8361193563505702	0	0.004374316513044837	0.013435400718637714	0.020684268083112013	0	0	0	0.04408686142790189	0	0	0	0	0	0	0	0	0.020840493672863614	0.021777847211373224	0	0	0	0	0	0	0	0	0	0	0.009685986564599281	0	0	0	0.005217934697703484	0	0	0.006561474769567255	0	0.006780190595219497	0	0	0	0	0	0	0	0	0	0.004530542102796438	0	0	0	0	0.00590532729261053	0	0	0
226782	Por_03_Top	Q2181843EA_20250128151302__GAD_Por03_S57_R1_001.fastq.gz	1978e90dc5f94d888bf22588d23c16652e9e0e88fe44deeb54246472b6c68c9e	Q2181843EA_20250128151302__GAD_Por03_S57_R2_001.fastq.gz	f1bf448206e948d4d37030ca3062bb9ff561143ca7baf5c00b6d1b954a3ce3bd	1196	20250509T121528_hannama1	2.5761106074342703	1.0388939256572982	0.013508612873980055	1.0388939256572982	0.013508612873980055	0.0	0.0	0.0	0.0	1.0	0.0005893019038984588	0	0	0.04487760652765187	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	sp	-8.73163500	115.88270300	20240827	2-3	0.8252493200362647	0	0.004397098821396192	0.013463281958295558	0.0199909338168631	0	0	0	0.048640072529465096	0	0	0	0	0	0	0	0	0.024116047144152313	0.022620126926563917	0	0	0	0	0	0	0	0	0	0	0.01128739800543971	0	0	0	0.005167724388032638	0	0	0.00757026291931097	0	0.0066183136899365365	0	0	0	0	0	0	0	0	0	0.0043064369900271985	0	0	0.00657298277425204	0	0	0	0	0
